workload,threshold,method,ef,runs,recall,mean_ms,qps,p50_ms,p95_ms,std_run_mean_ms,insufficient,distance_evaluations
deep10m,0.999,DANA,1024,5,0.9993000000000001,6.992934698,143.00147837588173,6.414841,11.379968850000001,0.8493596308998302,0,12689.844
deep10m,0.999,EMA-FTFix-V2,128,5,0.999,19.79934842,50.506712584029565,14.2438125,48.2004971,0.20842828524831122,0,175152.027
sift1m_sel10,0.999,DANA,512,5,0.9996,2.43829893,410.12198615040194,2.441666,3.0761498000000005,0.13476282747016702,0,7887.681
sift1m_sel10,0.999,EMA-FTFix-V2,128,5,1.0,3.4134723168,292.956821439074,3.42026,4.4493402,0.19108251612836705,0,31830.457
sift1m_sel1,0.999,DANA,1024,5,0.9997999999999999,3.9814615578,251.1640475445306,3.931616,5.314835250000001,0.30851166363412463,0,11969.757
sift1m_sel1,0.999,EMA-FTFix-V2,64,5,0.9999,12.5952690454,79.39488996983486,12.733626000000001,16.6894931,0.22304656781582202,0,141809.544
app_reviews_r95,0.95,DANA,2048,5,0.9735599999999999,3.7335071754399998,267.84467071022794,3.8873065,6.2055105,0.29470283633536115,17,
app_reviews_r95,0.95,EMA-FTFix-V2,16,5,0.9577200000000001,8.25450248908,121.1460050224607,1.7739954999999998,38.6432416,0.5406343225722536,0,
app_reviews_r98,0.98,DANA,8192,5,0.9870400000000001,10.468658207839999,95.52322562705295,12.342755499999999,18.782270649999997,0.9106475247228669,2,
app_reviews_r98,0.98,EMA-FTFix-V2,64,5,0.98124,22.29625914776,44.850573065772124,6.1669965,111.79074559999998,1.3718994085208482,0,
