workload,method,ef,run,queries,recall,mean_ms,qps,p50_ms,p95_ms,insufficient,distance_evaluations
deep10m,DANA,1024,1,1000,0.9993000000000001,8.496951103999999,117.68927321815974,7.1800455,16.963880800000002,0,12689.844
deep10m,DANA,1024,2,1000,0.9993000000000001,6.647148675,150.44044430072867,6.137542,9.968103099999999,0,12689.844
deep10m,DANA,1024,3,1000,0.9993000000000001,6.425946136,155.61910710668926,6.25319,8.9704316,0,12689.844
deep10m,DANA,1024,4,1000,0.9993000000000001,6.635046893,150.71483534728353,6.3151575,9.29533355,0,12689.844
deep10m,DANA,1024,5,1000,0.9993000000000001,6.759580682,147.93817058251662,6.0549415,10.82024965,0,12689.844
deep10m,EMA-FTFix-V2,128,1,1000,0.999,19.594667488,51.03429290710912,14.093824,47.854722349999996,0,175152.027
deep10m,EMA-FTFix-V2,128,2,1000,0.999,19.961349445,50.096813482241004,14.3498525,48.61293455,0,175152.027
deep10m,EMA-FTFix-V2,128,3,1000,0.999,19.692699402000002,50.78023990446121,14.1308435,48.15609065,0,175152.027
deep10m,EMA-FTFix-V2,128,4,1000,0.999,19.670165872,50.83841216730539,14.130824,47.9397745,0,175152.027
deep10m,EMA-FTFix-V2,128,5,1000,0.999,20.077859893,49.80610509931104,14.468031499999999,48.724906999999995,0,175152.027
sift1m_sel10,DANA,512,1,1000,0.9996,2.296863632,435.3763044823203,2.3344745,2.75159155,0,7887.681
sift1m_sel10,DANA,512,2,1000,0.9996,2.593687017,385.55153086923127,2.6091335,3.2126398,0,7887.681
sift1m_sel10,DANA,512,3,1000,0.9996,2.520334429,396.7727411464092,2.512781,3.20647375,0,7887.681
sift1m_sel10,DANA,512,4,1000,0.9996,2.48292762,402.7503628962007,2.4904735000000002,3.0748761499999997,0,7887.681
sift1m_sel10,DANA,512,5,1000,0.9996,2.297681952,435.2212451029428,2.3304665,2.76044565,0,7887.681
sift1m_sel10,EMA-FTFix-V2,128,1,1000,1.0,3.3172251699999995,301.4567744884198,3.341241,4.20861635,0,31830.457
sift1m_sel10,EMA-FTFix-V2,128,2,1000,1.0,3.374058594,296.37896679633064,3.410552,4.2749062,0,31830.457
sift1m_sel10,EMA-FTFix-V2,128,3,1000,1.0,3.751809204,266.53807420000135,3.659502,5.368722749999999,0,31830.457
sift1m_sel10,EMA-FTFix-V2,128,4,1000,1.0,3.301586233,302.884713415874,3.3308910000000003,4.19306025,0,31830.457
sift1m_sel10,EMA-FTFix-V2,128,5,1000,1.0,3.3226823830000005,300.9616583024451,3.3605425,4.2289521500000005,0,31830.457
