workload,method,ef,runs,recall_mean,latency_ms_mean,latency_ms_std,latency_ms_min,latency_ms_max,qps_mean,qps_std,qps_min,qps_max,p95_ms_mean,p95_ms_std
app_reviews_r95,DANA,2048,5,0.973560,3.733507,0.294703,3.330950,4.024460,269.223874,21.868224,248.480531,300.214643,6.200765,0.725002
app_reviews_r95,EMA-FTFix-V2,16,5,0.957720,8.254502,0.540634,7.708310,8.865621,121.556287,7.832675,112.795260,129.730120,38.542685,2.649841
app_reviews_r98,DANA,8192,5,0.987040,10.468658,0.910648,9.525805,11.949798,96.070653,7.886556,83.683420,104.978004,18.037014,2.495103
app_reviews_r98,EMA-FTFix-V2,64,5,0.981240,22.296259,1.371899,20.886385,24.402444,44.982681,2.686984,40.979502,47.878080,111.495540,5.399222
deep10m,DANA,1024,5,0.999300,6.992935,0.849360,6.425946,8.496951,144.480366,15.233038,117.689273,155.619107,11.203600,3.297073
deep10m,EMA-FTFix-V2,128,5,0.999000,19.799348,0.208428,19.594667,20.077860,50.511173,0.529611,49.806105,51.034293,48.257686,0.393149
sift1m_sel1,DANA,1024,5,0.999800,3.981462,0.308512,3.586294,4.264959,252.413321,20.161370,234.468845,278.839356,5.120427,0.664431
sift1m_sel1,EMA-FTFix-V2,64,5,0.999900,12.595269,0.223047,12.458899,12.986135,79.414394,1.376772,77.005207,80.263914,16.742514,0.550942
sift1m_sel10,DANA,512,5,0.999600,2.438299,0.134763,2.296864,2.593687,411.134437,22.906760,385.551531,435.376304,3.001205,0.230510
sift1m_sel10,EMA-FTFix-V2,128,5,1.000000,3.413472,0.191083,3.301586,3.751809,293.644037,15.347554,266.538074,302.884713,4.454852,0.511795
