query_idx,profile,nav_attr,recall,graph_ms,exact_ms,hops,dist,pruned,result_count,insufficient,span0,span1,span2
0,attr0_narrow,0,1,11.710702,930.51287,1031,14859,0,10,0,1000000,5000000,5000000
1,attr1_narrow,1,1,52.005169,415.92778,1026,20973,0,10,0,5000000,1000000,5000000
2,attr2_narrow,2,1,19.373266,378.66108,1028,12488,0,10,0,5000000,5000000,1000000
3,balanced,0,1,8.543359,133.11925,1030,11050,0,10,0,2000000,2000000,2000000
4,attr0_narrow,0,1,8.989211,273.3458,1027,9137,0,10,0,1000000,5000000,5000000
5,attr1_narrow,1,1,19.032542,253.71486,1029,9246,0,10,0,5000000,1000000,5000000
6,attr2_narrow,2,1,6.487856,256.1312,1035,8198,0,10,0,5000000,5000000,1000000
7,balanced,0,1,10.390809,111.9562,1028,15669,0,10,0,2000000,2000000,2000000
8,attr0_narrow,0,1,8.820802,178.56325,1034,14411,0,10,0,1000000,5000000,5000000
9,attr1_narrow,1,1,24.107429,226.59024,1029,10462,0,10,0,5000000,1000000,5000000
10,attr2_narrow,2,1,10.557683,217.32829,1030,20180,0,10,0,5000000,5000000,1000000
11,balanced,0,1,9.75619,107.57191,1030,17154,0,10,0,2000000,2000000,2000000
12,attr0_narrow,0,1,7.418244,187.12233,1028,5655,0,10,0,1000000,5000000,5000000
13,attr1_narrow,1,1,22.897294,197.92394,1026,12454,0,10,0,5000000,1000000,5000000
14,attr2_narrow,2,1,10.336837,210.29386,1029,20401,0,10,0,5000000,5000000,1000000
15,balanced,0,1,9.559849,126.79982,1034,16688,0,10,0,2000000,2000000,2000000
16,attr0_narrow,0,1,7.381233,166.00964,1034,6878,0,10,0,1000000,5000000,5000000
17,attr1_narrow,1,1,17.979323,187.46895,1029,9249,0,10,0,5000000,1000000,5000000
18,attr2_narrow,2,1,6.391012,205.34614,1026,8746,0,10,0,5000000,5000000,1000000
19,balanced,0,1,11.423449,137.57341,1029,18116,0,10,0,2000000,2000000,2000000
20,attr0_narrow,0,1,8.303315,117.89197,1029,9488,0,10,0,1000000,5000000,5000000
21,attr1_narrow,1,1,9.56069,197.81721,1031,2789,0,10,0,5000000,1000000,5000000
22,attr2_narrow,2,1,6.560273,200.53884,1039,9713,0,10,0,5000000,5000000,1000000
23,balanced,0,1,21.616433,102.43468,1030,19601,0,10,0,2000000,2000000,2000000
24,attr0_narrow,0,1,10.088297,167.71401,1028,13116,0,10,0,1000000,5000000,5000000
25,attr1_narrow,1,1,13.598769,182.09199,1029,6765,0,10,0,5000000,1000000,5000000
26,attr2_narrow,2,1,8.832064,207.56454,1028,20567,0,10,0,5000000,5000000,1000000
27,balanced,0,1,9.670638,89.762432,1029,13336,0,10,0,2000000,2000000,2000000
28,attr0_narrow,0,1,7.997217,119.12994,1028,7997,0,10,0,1000000,5000000,5000000
29,attr1_narrow,1,1,18.740391,177.54776,1030,9217,0,10,0,5000000,1000000,5000000
30,attr2_narrow,2,1,8.304107,187.78746,1028,13527,0,10,0,5000000,5000000,1000000
31,balanced,0,1,9.498863,94.21851,1030,9747,0,10,0,2000000,2000000,2000000
32,attr0_narrow,0,1,11.395216,152.30985,1027,11467,0,10,0,1000000,5000000,5000000
33,attr1_narrow,1,1,23.46239,181.44251,1039,15827,0,10,0,5000000,1000000,5000000
34,attr2_narrow,2,1,7.217423,204.13763,1028,12888,0,10,0,5000000,5000000,1000000
35,balanced,0,1,10.297051,97.816235,1029,15016,0,10,0,2000000,2000000,2000000
36,attr0_narrow,0,1,7.537207,159.81911,1031,9210,0,10,0,1000000,5000000,5000000
37,attr1_narrow,1,1,36.166218,186.69002,1027,18607,0,10,0,5000000,1000000,5000000
38,attr2_narrow,2,1,4.842387,205.29108,1031,4521,0,10,0,5000000,5000000,1000000
39,balanced,0,1,11.02649,94.835785,1029,18705,0,10,0,2000000,2000000,2000000
40,attr0_narrow,0,1,9.864254,140.38636,1029,13498,0,10,0,1000000,5000000,5000000
41,attr1_narrow,1,1,32.017872,184.89073,1033,15303,0,10,0,5000000,1000000,5000000
42,attr2_narrow,2,1,6.53285,195.5037,1027,13665,0,10,0,5000000,5000000,1000000
43,balanced,0,1,9.165654,100.23301,1031,9811,0,10,0,2000000,2000000,2000000
44,attr0_narrow,0,1,21.74691,111.42422,1030,18823,0,10,0,1000000,5000000,5000000
45,attr1_narrow,1,1,32.971233,174.56203,1026,17003,0,10,0,5000000,1000000,5000000
46,attr2_narrow,2,1,6.122395,193.0458,1029,8881,0,10,0,5000000,5000000,1000000
47,balanced,0,1,7.480931,118.85299,1028,6520,0,10,0,2000000,2000000,2000000
48,attr0_narrow,0,1,8.653135,142.5985,1031,16129,0,10,0,1000000,5000000,5000000
49,attr1_narrow,1,1,32.459236,187.96317,1027,16446,0,10,0,5000000,1000000,5000000
50,attr2_narrow,2,1,9.065565,197.28016,1029,18538,0,10,0,5000000,5000000,1000000
51,balanced,0,1,10.532015,114.88028,1034,17526,0,10,0,2000000,2000000,2000000
52,attr0_narrow,0,1,18.828477,145.8223,1034,15178,0,10,0,1000000,5000000,5000000
53,attr1_narrow,1,1,19.768423,177.24448,1029,10741,0,10,0,5000000,1000000,5000000
54,attr2_narrow,2,1,7.896647,204.55404,1028,13341,0,10,0,5000000,5000000,1000000
55,balanced,0,1,12.914816,145.69169,1029,17954,0,10,0,2000000,2000000,2000000
56,attr0_narrow,0,1,8.674636,116.93822,1029,11237,0,10,0,1000000,5000000,5000000
57,attr1_narrow,1,1,36.814212,169.81179,1037,18652,0,10,0,5000000,1000000,5000000
58,attr2_narrow,2,1,8.40127,184.15931,1030,17101,0,10,0,5000000,5000000,1000000
59,balanced,0,1,10.395747,142.21766,1029,11309,0,10,0,2000000,2000000,2000000
60,attr0_narrow,0,1,9.648156,150.80536,1033,12246,0,10,0,1000000,5000000,5000000
61,attr1_narrow,1,1,29.085042,173.37188,1029,18286,0,10,0,5000000,1000000,5000000
62,attr2_narrow,2,1,7.528842,198.64334,1030,13396,0,10,0,5000000,5000000,1000000
63,balanced,0,1,14.141905,151.35913,1027,19083,0,10,0,2000000,2000000,2000000
