query_idx,profile,nav_attr,recall,graph_ms,exact_ms,hops,dist,pruned,result_count,insufficient,span0,span1,span2
0,attr0_narrow,0,1,30.987915,173.1553,1026,6714,0,10,0,100000,500000,500000
1,attr1_narrow,1,1,14.165353,59.324171,1027,9187,0,10,0,500000,100000,500000
2,attr2_narrow,2,1,3.169026,61.904806,1028,5102,0,10,0,500000,500000,100000
3,balanced,0,1,55.58516,33.834451,1025,6706,0,10,0,200000,200000,200000
4,attr0_narrow,0,1,6.744798,40.885929,1027,3608,0,10,0,100000,500000,500000
5,attr1_narrow,1,1,9.123841,26.677123,1029,5341,0,10,0,500000,100000,500000
6,attr2_narrow,2,1,2.136556,25.843259,1030,5733,0,10,0,500000,500000,100000
7,balanced,0,1,13.227141,10.513166,1028,8211,0,10,0,200000,200000,200000
8,attr0_narrow,0,1,8.790271,21.143162,1033,6804,0,10,0,100000,500000,500000
9,attr1_narrow,1,1,8.303372,26.639031,1030,5573,0,10,0,500000,100000,500000
10,attr2_narrow,2,1,2.502526,21.31696,1027,9905,0,10,0,500000,500000,100000
11,balanced,0,1,16.120846,9.644825,1028,11286,0,10,0,200000,200000,200000
12,attr0_narrow,0,1,4.781871,16.923122,1027,5574,0,10,0,100000,500000,500000
13,attr1_narrow,1,1,29.982906,21.631474,1025,6538,0,10,0,500000,100000,500000
14,attr2_narrow,2,1,2.552892,23.480196,1026,8696,0,10,0,500000,500000,100000
15,balanced,0,1,10.006949,13.640412,1031,11085,0,10,0,200000,200000,200000
16,attr0_narrow,0,1,3.820155,15.07419,1031,2266,0,10,0,100000,500000,500000
17,attr1_narrow,1,1,7.591107,17.343766,1028,4135,0,10,0,500000,100000,500000
18,attr2_narrow,2,1,2.110376,20.033286,1028,5964,0,10,0,500000,500000,100000
19,balanced,0,1,7.287083,14.441936,1028,11529,0,10,0,200000,200000,200000
20,attr0_narrow,0,1,15.912573,14.437447,1027,5614,0,10,0,100000,500000,500000
21,attr1_narrow,1,1,6.295941,17.833381,1030,3734,0,10,0,500000,100000,500000
22,attr2_narrow,2,1,2.492869,19.737577,1026,8712,0,10,0,500000,500000,100000
23,balanced,0,1,12.311281,9.353946,1027,11848,0,10,0,200000,200000,200000
24,attr0_narrow,0,1,4.253052,16.275498,1027,5928,0,10,0,100000,500000,500000
25,attr1_narrow,1,1,4.680049,18.480363,1032,4445,0,10,0,500000,100000,500000
26,attr2_narrow,2,1,2.710539,19.353371,1027,10869,0,10,0,500000,500000,100000
27,balanced,0,1,5.471002,11.771422,1028,8734,0,10,0,200000,200000,200000
28,attr0_narrow,0,1,2.386898,16.129833,1026,4027,0,10,0,100000,500000,500000
29,attr1_narrow,1,1,4.959036,16.881012,1031,4411,0,10,0,500000,100000,500000
30,attr2_narrow,2,1,2.226324,19.096717,1028,7426,0,10,0,500000,500000,100000
31,balanced,0,1,4.409558,10.441099,1027,4329,0,10,0,200000,200000,200000
32,attr0_narrow,0,1,5.503845,12.652125,1027,5480,0,10,0,100000,500000,500000
33,attr1_narrow,1,1,7.89948,17.671224,1028,8319,0,10,0,500000,100000,500000
34,attr2_narrow,2,1,2.25593,19.152411,1030,7385,0,10,0,500000,500000,100000
35,balanced,0,0.9,11.667175,10.396445,1032,9747,0,10,0,200000,200000,200000
36,attr0_narrow,0,1,2.930414,12.213306,1033,2788,0,10,0,100000,500000,500000
