query_idx,profile,primary_attr,attr0_low,attr0_high,attr1_low,attr1_high,attr2_low,attr2_high,expected_top10
0,app_reviews_filter,0,50,110,1444262400,1446854400,4,5,119558 164505 110599 103053 207027 263722 28597 10437 210285 192737
1,app_reviews_filter,0,-20,40,1480032000,1482624000,3,5,240708 228727 130083 32695 79025 109178 124849 70200 27058 111660
2,app_reviews_filter,0,100,160,1454457600,1457049600,3,4,194138 191908 18984 132506 183507 269404 142365 93258 107303 267402
3,app_reviews_filter,0,-13,47,1473552000,1476144000,4,5,151914 71117 111049 244778 139145 7129 262799 55419 225439 115984
4,app_reviews_filter,0,-23,37,1487462400,1490054400,1,2,140505 226084 133574 55909 162627 169199 48146 72196 98678 275818
5,app_reviews_filter,0,-11,49,1479686400,1482278400,1,2,170114 100645 148220 95441 219241 165103 244552 248678 257957 160554
6,app_reviews_filter,0,-24,36,1485043200,1487635200,4,5,145214 159000 117180 74859 42076 18865 253841 172244 114305 92429
7,app_reviews_filter,0,28,88,1485043200,1487635200,4,5,164625 150541 125829 180262 168194 107573 88161 81491 68383 115016
8,app_reviews_filter,0,-26,34,1486771200,1489363200,4,5,271857 16748 249565 217064 249554 249451 249441 249439 79954 80024
9,app_reviews_filter,0,12,72,1459382400,1461974400,1,2,135782 101834 119119 128518 20050 195376 37204 133134 109207 167369
10,app_reviews_filter,0,-26,34,1489276800,1491868800,4,5,193286 32040 120135 4025 228422 207405 255773 255804 57555 271680
11,app_reviews_filter,0,-11,49,1483747200,1486339200,4,5,162807 256445 138803 125888 28386 219911 94098 178528 95442 65625
12,app_reviews_filter,0,12,72,1455580800,1458172800,1,2,125580 270697 57735 240135 48291 210809 26117 100447 211447 108762
13,app_reviews_filter,0,22,82,1443571200,1446163200,4,5,266179 9285 146343 195550 277048 126140 53100 73541 178864 255632
14,app_reviews_filter,0,-8,52,1478822400,1481414400,4,5,2833 215868 9133 94437 238138 145605 203994 141240 168107 28003
15,app_reviews_filter,0,13,73,1468800000,1471392000,4,5,168426 266764 245734 234416 240280 217214 211450 116669 266254 67416
16,app_reviews_filter,0,-18,42,1481155200,1483747200,1,2,89147 187868 139003 195036 3620 192053 83437 44097 231889 190139
17,app_reviews_filter,0,-23,37,1485302400,1487894400,4,5,246539 235556 148427 45129 107251 227838 201283 167721 140407 211292
18,app_reviews_filter,0,-21,39,1479168000,1481760000,4,5,58969 166222 164888 182262 72185 63931 197907 78245 144056 92678
19,app_reviews_filter,0,19,79,1471392000,1473984000,4,5,5903 245503 9295 38618 207167 173013 274760 223644 129329 214207
20,app_reviews_filter,0,13,73,1407283200,1409875200,4,5,177503 130180 238411 121611 160697 266291 268542 57610 82268 116125
21,app_reviews_filter,0,13,73,1459209600,1461801600,1,2,188690 177872 117083 176765 212279 99174 187642 225498 168596 163681
22,app_reviews_filter,0,-20,40,1483747200,1486339200,4,5,53028 112137 2933 72278 126857 242579 137592 245717 146814 50441
23,app_reviews_filter,0,-20,40,1479859200,1482451200,4,5,133884 40941 49028 217930 121425 99308 131973 32909 107103 128016
24,app_reviews_filter,0,153,213,1462752000,1465344000,3,5,37850 104668 260421 134873 248724 22072 175159 109585 126183 109057
25,app_reviews_filter,0,17,77,1417996800,1420588800,4,5,189152 258192 172323 191859 173708 97347 149219 222113 225420 209657
26,app_reviews_filter,0,-22,38,1476662400,1479254400,4,5,131222 166134 76471 116166 187732 171906 172258 19953 64029 240479
27,app_reviews_filter,0,182,242,1403395200,1405987200,1,2,188254 111359 1121 187406 211666 58169 238227 240161 249276 249678
28,app_reviews_filter,0,-26,34,1475366400,1477958400,4,5,164735 48335 103153 277158 263385 147622 138943 225153 49690 220430
29,app_reviews_filter,0,7,67,1485734400,1488326400,4,5,58867 18931 131619 161492 182257 228308 184423 67303 189106 34012
30,app_reviews_filter,0,63,123,1471219200,1473811200,4,5,230251 179005 24102 5601 153674 256317 273481 29400 263783 56713
31,app_reviews_filter,0,-19,41,1414281600,1416873600,1,2,243358 13229 81239 203075 155689 61584 184799 1889 3564 269602
32,app_reviews_filter,0,1,61,1455494400,1458086400,4,5,30114 102071 192369 237929 70309 174026 69158 177976 42774 50431
33,app_reviews_filter,0,106,166,1434067200,1436659200,3,4,77595 252967 123306 33114 263899 82684 138957 43221 252536 254164
34,app_reviews_filter,0,159,219,1472947200,1475539200,4,5,181294 150408 50629 164211 51397 34971 50289 78691 204336 39992
35,app_reviews_filter,0,-2,58,1477958400,1480550400,4,5,277139 253720 130675 223076 31309 143366 49068 145456 97055 142522
36,app_reviews_filter,0,75,135,1463875200,1466467200,3,4,274824 20444 137741 155033 69785 130525 188452 7565 233534 102329
37,app_reviews_filter,0,-26,34,1446595200,1449187200,3,5,68933 104144 251383 8770 27935 204990 161743 264013 168462 145053
38,app_reviews_filter,0,-8,52,1488844800,1491436800,4,5,237327 273724 173158 180948 97766 204987 15422 17961 248747 213500
39,app_reviews_filter,0,106,166,1474502400,1477094400,3,4,27067 127867 105776 36507 200214 225834 210832 143976 131505 180316
40,app_reviews_filter,0,-25,35,1478390400,1480982400,4,5,188163 116371 71640 195678 161572 142387 48752 207360 20149 150749
41,app_reviews_filter,0,-13,47,1480982400,1483574400,3,5,236470 59483 90192 193597 210388 88801 33505 143093 156091 257163
42,app_reviews_filter,0,-4,56,1474329600,1476921600,4,5,75081 183230 249174 266898 99603 237176 202639 92075 228849 16118
43,app_reviews_filter,0,-10,50,1485302400,1487894400,1,2,173459 250739 191496 94825 131724 180139 85080 25818 145094 264660
44,app_reviews_filter,0,-23,37,1482796800,1485388800,3,5,213372 143878 27980 105855 109505 128652 161272 76490 164711 32021
45,app_reviews_filter,0,356,416,1477872000,1480464000,1,2,146849 255280 219044 155152 250033 154641 166172 81035 89978 89278
46,app_reviews_filter,0,-26,34,1487462400,1490054400,4,5,114073 112014 111943 239675 239678 111776 111623 111614 111520 14261
47,app_reviews_filter,0,-26,34,1489449600,1492041600,4,5,155120 32925 83893 132862 26507 40996 144976 114478 12547 79791
48,app_reviews_filter,0,-20,40,1489104000,1491696000,4,5,31842 87788 58903 275228 100354 4684 29993 267783 266950 108289
49,app_reviews_filter,0,-4,56,1469145600,1471737600,1,2,62836 31114 242689 33474 244214 266931 151966 175013 160754 198028
50,app_reviews_filter,0,-17,43,1486598400,1489190400,4,5,122820 157008 152450 20935 177448 20828 231400 232460 72302 114136
51,app_reviews_filter,0,76,136,1489017600,1491609600,4,5,32032 118897 207915 233891 252244 172848 235791 234733 19861 242132
52,app_reviews_filter,0,271,331,1431475200,1434067200,1,2,108691 72263 74767 60497 18266 136843 55469 101217 76853 42931
53,app_reviews_filter,0,77,137,1465171200,1467763200,4,5,66722 56805 235243 107707 99381 159372 214465 188031 112880 276150
