query_idx,profile,primary_attr,attr0_low,attr0_high,attr1_low,attr1_high,attr2_low,attr2_high,expected_top10
0,attr0_narrow,0,297087,397086,28320,528319,0,499999,
1,attr1_narrow,1,0,499999,339508,439507,166877,666876,
2,attr2_narrow,2,0,499999,500000,999999,520304,620303,
3,balanced,0,346047,546046,364025,564024,731323,931322,
4,attr0_narrow,0,607061,707060,500000,999999,37811,537810,
5,attr1_narrow,1,65700,565699,830130,930129,0,499999,
6,attr2_narrow,2,500000,999999,257095,757094,395816,495815,
7,balanced,0,792531,992530,0,199999,687316,887315,
8,attr0_narrow,0,544778,644777,444257,944256,500000,999999,
9,attr1_narrow,1,320122,820121,420119,520118,500000,999999,
10,attr2_narrow,2,239734,739733,65163,565162,221921,321920,
11,balanced,0,0,199999,66969,266968,241546,441545,
12,attr0_narrow,0,577974,677973,499971,999970,500000,999999,
13,attr1_narrow,1,0,499999,144707,244706,0,499999,
14,attr2_narrow,2,500000,999999,100258,600257,585629,685628,
15,balanced,0,408207,608206,735604,935603,239073,439072,
16,attr0_narrow,0,253946,353945,114366,614365,500000,999999,
17,attr1_narrow,1,27889,527888,7873,107872,500000,999999,
18,attr2_narrow,2,0,499999,500000,999999,368702,468701,
19,balanced,0,509783,709782,609905,809904,0,199999,
20,attr0_narrow,0,793960,893959,219722,719721,451107,951106,
21,attr1_narrow,1,500000,999999,268169,368168,386678,886677,
22,attr2_narrow,2,173333,673332,500000,999999,281201,381200,
23,balanced,0,83134,283133,0,199999,191529,391528,
24,attr0_narrow,0,432678,532677,0,499999,32926,532925,
25,attr1_narrow,1,96781,596780,396524,496523,500000,999999,
26,attr2_narrow,2,0,499999,500000,999999,132632,232631,
27,balanced,0,302926,502925,96454,296453,0,199999,
28,attr0_narrow,0,416919,516918,49567,549566,500000,999999,
29,attr1_narrow,1,268144,768143,143605,243604,471917,971916,
30,attr2_narrow,2,376799,876798,35013,535012,132039,232038,
31,balanced,0,195882,395881,0,199999,800000,999999,
32,attr0_narrow,0,853108,953107,286707,786706,462222,962221,
33,attr1_narrow,1,47657,547656,265768,365767,500000,999999,
34,attr2_narrow,2,91055,591054,500000,999999,776701,876700,
35,balanced,0,737457,937456,442643,642642,37932,237931,
36,attr0_narrow,0,71032,171031,2548,502547,0,499999,
37,attr1_narrow,1,500000,999999,727970,827969,50271,550270,
38,attr2_narrow,2,0,499999,168507,668506,99653,199652,
39,balanced,0,188880,388879,369769,569768,685775,885774,
40,attr0_narrow,0,42895,142894,500000,999999,130977,630976,
41,attr1_narrow,1,442118,942117,52546,152545,500000,999999,
42,attr2_narrow,2,20521,520520,68698,568697,562812,662811,
43,balanced,0,0,199999,779090,979089,165728,365727,
44,attr0_narrow,0,128621,228620,28844,528843,0,499999,
45,attr1_narrow,1,392609,892608,265399,365398,179081,679080,
46,attr2_narrow,2,66872,566871,0,499999,847486,947485,
47,balanced,0,54735,254734,46332,246331,0,199999,
48,attr0_narrow,0,721157,821156,129020,629019,411596,911595,
49,attr1_narrow,1,490968,990967,453234,553233,500000,999999,
50,attr2_narrow,2,278048,778047,258492,758491,624348,724347,
51,balanced,0,379600,579599,442739,642738,523006,723005,
52,attr0_narrow,0,771919,871918,500000,999999,377405,877404,
53,attr1_narrow,1,500000,999999,0,99999,130260,630259,
