query_idx,profile,primary_attr,attr0_low,attr0_high,attr1_low,attr1_high,attr2_low,attr2_high,expected_top10
0,single_attr0,0,297087,397086,0,999999,0,999999,
1,attr1_narrow,1,0,499999,339508,439507,166877,666876,
2,attr2_narrow,2,0,499999,500000,999999,520304,620303,
3,balanced,0,346047,546046,364025,564024,731323,931322,
4,attr0_narrow,0,607061,707060,500000,999999,37811,537810,
5,single_attr1,1,0,999999,830130,930129,0,999999,
6,attr2_narrow,2,500000,999999,257095,757094,395816,495815,
7,balanced,0,792531,992530,0,199999,687316,887315,
8,attr0_narrow,0,544778,644777,444257,944256,500000,999999,
9,attr1_narrow,1,320122,820121,420119,520118,500000,999999,
10,single_attr2,2,0,999999,0,999999,221921,321920,
11,balanced,0,0,199999,66969,266968,241546,441545,
12,attr0_narrow,0,577974,677973,499971,999970,500000,999999,
13,attr1_narrow,1,0,499999,144707,244706,0,499999,
14,attr2_narrow,2,500000,999999,100258,600257,585629,685628,
15,single_attr0,0,458207,558206,0,999999,0,999999,
16,attr0_narrow,0,253946,353945,114366,614365,500000,999999,
17,attr1_narrow,1,27889,527888,7873,107872,500000,999999,
18,attr2_narrow,2,0,499999,500000,999999,368702,468701,
19,balanced,0,509783,709782,609905,809904,0,199999,
20,single_attr1,1,0,999999,419722,519721,0,999999,
21,attr1_narrow,1,500000,999999,268169,368168,386678,886677,
22,attr2_narrow,2,173333,673332,500000,999999,281201,381200,
23,balanced,0,83134,283133,0,199999,191529,391528,
24,attr0_narrow,0,432678,532677,0,499999,32926,532925,
25,single_attr2,2,0,999999,0,999999,793193,893192,
26,attr2_narrow,2,0,499999,500000,999999,132632,232631,
27,balanced,0,302926,502925,96454,296453,0,199999,
28,attr0_narrow,0,416919,516918,49567,549566,500000,999999,
29,attr1_narrow,1,268144,768143,143605,243604,471917,971916,
30,single_attr0,0,576799,676798,0,999999,0,999999,
31,balanced,0,195882,395881,0,199999,800000,999999,
32,attr0_narrow,0,853108,953107,286707,786706,462222,962221,
33,attr1_narrow,1,47657,547656,265768,365767,500000,999999,
34,attr2_narrow,2,91055,591054,500000,999999,776701,876700,
35,single_attr1,1,0,999999,492643,592642,0,999999,
36,attr0_narrow,0,71032,171031,2548,502547,0,499999,
37,attr1_narrow,1,500000,999999,727970,827969,50271,550270,
38,attr2_narrow,2,0,499999,168507,668506,99653,199652,
39,balanced,0,188880,388879,369769,569768,685775,885774,
40,single_attr2,2,0,999999,0,999999,330977,430976,
41,attr1_narrow,1,442118,942117,52546,152545,500000,999999,
42,attr2_narrow,2,20521,520520,68698,568697,562812,662811,
43,balanced,0,0,199999,779090,979089,165728,365727,
44,attr0_narrow,0,128621,228620,28844,528843,0,499999,
45,single_attr0,0,592609,692608,0,999999,0,999999,
46,attr2_narrow,2,66872,566871,0,499999,847486,947485,
47,balanced,0,54735,254734,46332,246331,0,199999,
48,attr0_narrow,0,721157,821156,129020,629019,411596,911595,
49,attr1_narrow,1,490968,990967,453234,553233,500000,999999,
50,single_attr1,1,0,999999,458492,558491,0,999999,
51,balanced,0,379600,579599,442739,642738,523006,723005,
52,attr0_narrow,0,771919,871918,500000,999999,377405,877404,
53,attr1_narrow,1,500000,999999,0,99999,130260,630259,
54,attr2_narrow,2,0,499999,0,499999,593124,693123,
55,single_attr2,2,0,999999,0,999999,311319,411318,
56,attr0_narrow,0,521947,621946,500000,999999,500000,999999,
57,attr1_narrow,1,0,499999,420093,520092,0,499999,
58,attr2_narrow,2,287763,787762,149884,649883,475386,575385,
59,balanced,0,0,199999,19731,219730,274623,474622,
60,single_attr0,0,680113,780112,0,999999,0,999999,
61,attr1_narrow,1,490065,990064,900000,999999,0,499999,
62,attr2_narrow,2,500000,999999,356756,856755,304883,404882,
63,balanced,0,87103,287102,353245,553244,670445,870444,
64,attr0_narrow,0,373167,473166,332141,832140,500000,999999,
65,single_attr1,1,0,999999,277628,377627,0,999999,
66,attr2_narrow,2,0,499999,500000,999999,796937,896936,
67,balanced,0,502928,702927,723537,923536,704778,904777,
68,attr0_narrow,0,134952,234951,256157,756156,321372,821371,
69,attr1_narrow,1,500000,999999,338228,438227,494292,994291,
70,single_attr2,2,0,999999,0,999999,554495,654494,
71,balanced,0,576559,776558,55350,255349,45784,245783,
72,attr0_narrow,0,559108,659107,0,499999,500000,999999,
73,attr1_narrow,1,234515,734514,710825,810824,228417,728416,
74,attr2_narrow,2,298611,798610,500000,999999,511314,611313,
75,single_attr0,0,780272,880271,0,999999,0,999999,
76,attr0_narrow,0,7104,107103,183081,683080,500000,999999,
77,attr1_narrow,1,57818,557817,769913,869912,131659,631658,
78,attr2_narrow,2,77926,577925,205706,705705,0,99999,
79,balanced,0,619861,819860,272317,472316,724917,924916,
80,single_attr1,1,0,999999,662471,762470,0,999999,
81,attr1_narrow,1,0,499999,187026,287025,0,499999,
