query_idx,profile,primary_attr,attr0_low,attr0_high,attr1_low,attr1_high,attr2_low,attr2_high,expected_top10
0,tiny_all,0,427999,432998,427999,432998,427999,432998,
1,small_all,0,134013,144012,134013,144012,134013,144012,
2,medium_all,0,950000,999999,950000,999999,950000,999999,
3,attr0_narrow,0,57505,157504,0,499999,0,499999,
4,attr1_narrow,1,161268,661267,361268,461267,161268,661267,
5,attr2_narrow,2,344773,844772,344773,844772,544773,644772,
6,balanced,0,487531,687530,487531,687530,487531,687530,
7,broad,0,500000,999999,500000,999999,500000,999999,
8,tiny_all,0,194527,199526,194527,199526,194527,199526,
9,small_all,0,943959,953958,943959,953958,943959,953958,
10,medium_all,0,408215,458214,408215,458214,408215,458214,
11,attr0_narrow,0,725834,825833,500000,999999,500000,999999,
12,attr1_narrow,1,132719,632718,332719,432718,132719,632718,
13,attr2_narrow,2,500000,999999,500000,999999,797106,897105,
14,balanced,0,650902,850901,650902,850901,650902,850901,
15,broad,0,500000,999999,500000,999999,500000,999999,
16,tiny_all,0,406247,411246,406247,411246,406247,411246,
17,small_all,0,242918,252917,242918,252917,242918,252917,
18,medium_all,0,379034,429033,379034,429033,379034,429033,
19,attr0_narrow,0,531968,631967,331968,831967,331968,831967,
20,attr1_narrow,1,321903,821902,521903,621902,321903,821902,
21,attr2_narrow,2,0,499999,0,499999,79807,179806,
22,balanced,0,515272,715271,515272,715271,515272,715271,
23,broad,0,0,499999,0,499999,0,499999,
24,tiny_all,0,500732,505731,500732,505731,500732,505731,
25,small_all,0,254224,264223,254224,264223,254224,264223,
26,medium_all,0,923013,973012,923013,973012,923013,973012,
27,attr0_narrow,0,418090,518089,218090,718089,218090,718089,
28,attr1_narrow,1,500000,999999,876171,976170,500000,999999,
29,attr2_narrow,2,79611,579610,79611,579610,279611,379610,
30,balanced,0,752493,952492,752493,952492,752493,952492,
31,broad,0,0,499999,0,499999,0,499999,
32,tiny_all,0,761576,766575,761576,766575,761576,766575,
33,small_all,0,663427,673426,663427,673426,663427,673426,
34,medium_all,0,686100,736099,686100,736099,686100,736099,
35,attr0_narrow,0,12998,112997,0,499999,0,499999,
36,attr1_narrow,1,0,499999,181954,281953,0,499999,
37,attr2_narrow,2,500000,999999,500000,999999,900000,999999,
38,balanced,0,676561,876560,676561,876560,676561,876560,
39,broad,0,266289,766288,266289,766288,266289,766288,
40,tiny_all,0,392454,397453,392454,397453,392454,397453,
41,small_all,0,408823,418822,408823,418822,408823,418822,
42,medium_all,0,355511,405510,355511,405510,355511,405510,
43,attr0_narrow,0,0,99999,0,499999,0,499999,
44,attr1_narrow,1,0,499999,111516,211515,0,499999,
45,attr2_narrow,2,0,499999,0,499999,80130,180129,
46,balanced,0,232816,432815,232816,432815,232816,432815,
47,broad,0,0,499999,0,499999,0,499999,
48,tiny_all,0,798505,803504,798505,803504,798505,803504,
49,small_all,0,990000,999999,990000,999999,990000,999999,
50,medium_all,0,76485,126484,76485,126484,76485,126484,
51,attr0_narrow,0,139813,239812,0,499999,0,499999,
52,attr1_narrow,1,142372,642371,342372,442371,142372,642371,
53,attr2_narrow,2,0,499999,0,499999,0,99999,
54,balanced,0,708520,908519,708520,908519,708520,908519,
55,broad,0,334551,834550,334551,834550,334551,834550,
56,tiny_all,0,264213,269212,264213,269212,264213,269212,
57,small_all,0,928503,938502,928503,938502,928503,938502,
58,medium_all,0,388342,438341,388342,438341,388342,438341,
59,attr0_narrow,0,330656,430655,130656,630655,130656,630655,
60,attr1_narrow,1,500000,999999,831449,931448,500000,999999,
61,attr2_narrow,2,500000,999999,500000,999999,887630,987629,
62,balanced,0,688839,888838,688839,888838,688839,888838,
63,broad,0,0,499999,0,499999,0,499999,
64,tiny_all,0,973712,978711,973712,978711,973712,978711,
65,small_all,0,399609,409608,399609,409608,399609,409608,
66,medium_all,0,915739,965738,915739,965738,915739,965738,
67,attr0_narrow,0,809077,909076,500000,999999,500000,999999,
68,attr1_narrow,1,60561,560560,260561,360560,60561,560560,
69,attr2_narrow,2,286754,786753,286754,786753,486754,586753,
70,balanced,0,638447,838446,638447,838446,638447,838446,
71,broad,0,475551,975550,475551,975550,475551,975550,
72,tiny_all,0,169457,174456,169457,174456,169457,174456,
73,small_all,0,960471,970470,960471,970470,960471,970470,
74,medium_all,0,872705,922704,872705,922704,872705,922704,
75,attr0_narrow,0,892876,992875,500000,999999,500000,999999,
76,attr1_narrow,1,500000,999999,798701,898700,500000,999999,
77,attr2_narrow,2,0,499999,0,499999,55754,155753,
78,balanced,0,564735,764734,564735,764734,564735,764734,
79,broad,0,500000,999999,500000,999999,500000,999999,
80,tiny_all,0,498277,503276,498277,503276,498277,503276,
81,small_all,0,749035,759034,749035,759034,749035,759034,
82,medium_all,0,315242,365241,315242,365241,315242,365241,
83,attr0_narrow,0,260540,360539,60540,560539,60540,560539,
84,attr1_narrow,1,500000,999999,879908,979907,500000,999999,
85,attr2_narrow,2,165981,665980,165981,665980,365981,465980,
86,balanced,0,250784,450783,250784,450783,250784,450783,
87,broad,0,259981,759980,259981,759980,259981,759980,
88,tiny_all,0,163417,168416,163417,168416,163417,168416,
89,small_all,0,619053,629052,619053,629052,619053,629052,
90,medium_all,0,161727,211726,161727,211726,161727,211726,
91,attr0_narrow,0,632065,732064,432065,932064,432065,932064,
92,attr1_narrow,1,56914,556913,256914,356913,56914,556913,
93,attr2_narrow,2,70933,570932,70933,570932,270933,370932,
94,balanced,0,0,199999,0,199999,0,199999,
95,broad,0,243659,743658,243659,743658,243659,743658,
96,tiny_all,0,808897,813896,808897,813896,808897,813896,
97,small_all,0,58916,68915,58916,68915,58916,68915,
98,medium_all,0,508752,558751,508752,558751,508752,558751,
99,attr0_narrow,0,830957,930956,500000,999999,500000,999999,
100,attr1_narrow,1,500000,999999,822297,922296,500000,999999,
101,attr2_narrow,2,0,499999,0,499999,0,99999,
102,balanced,0,554265,754264,554265,754264,554265,754264,
103,broad,0,449802,949801,449802,949801,449802,949801,
104,tiny_all,0,33409,38408,33409,38408,33409,38408,
105,small_all,0,472438,482437,472438,482437,472438,482437,
106,medium_all,0,831177,881176,831177,881176,831177,881176,
107,attr0_narrow,0,609844,709843,409844,909843,409844,909843,
108,attr1_narrow,1,449026,949025,649026,749025,449026,949025,
109,attr2_narrow,2,0,499999,0,499999,3204,103203,
110,balanced,0,800000,999999,800000,999999,800000,999999,
111,broad,0,0,499999,0,499999,0,499999,
112,tiny_all,0,229035,234034,229035,234034,229035,234034,
113,small_all,0,584180,594179,584180,594179,584180,594179,
114,medium_all,0,666101,716100,666101,716100,666101,716100,
115,attr0_narrow,0,249980,349979,49980,549979,49980,549979,
116,attr1_narrow,1,500000,999999,839599,939598,500000,999999,
117,attr2_narrow,2,234514,734513,234514,734513,434514,534513,
118,balanced,0,123372,323371,123372,323371,123372,323371,
119,broad,0,9819,509818,9819,509818,9819,509818,
120,tiny_all,0,948523,953522,948523,953522,948523,953522,
121,small_all,0,387071,397070,387071,397070,387071,397070,
122,medium_all,0,930887,980886,930887,980886,930887,980886,
123,attr0_narrow,0,0,99999,0,499999,0,499999,
124,attr1_narrow,1,298835,798834,498835,598834,298835,798834,
125,attr2_narrow,2,0,499999,0,499999,145147,245146,
126,balanced,0,319576,519575,319576,519575,319576,519575,
127,broad,0,206686,706685,206686,706685,206686,706685,
128,tiny_all,0,650774,655773,650774,655773,650774,655773,
129,small_all,0,393059,403058,393059,403058,393059,403058,
130,medium_all,0,311788,361787,311788,361787,311788,361787,
131,attr0_narrow,0,407345,507344,207345,707344,207345,707344,
132,attr1_narrow,1,167220,667219,367220,467219,167220,667219,
133,attr2_narrow,2,171985,671984,171985,671984,371985,471984,
134,balanced,0,176056,376055,176056,376055,176056,376055,
135,broad,0,158807,658806,158807,658806,158807,658806,
136,tiny_all,0,208055,213054,208055,213054,208055,213054,
137,small_all,0,430810,440809,430810,440809,430810,440809,
138,medium_all,0,456995,506994,456995,506994,456995,506994,
139,attr0_narrow,0,811636,911635,500000,999999,500000,999999,
140,attr1_narrow,1,0,499999,82066,182065,0,499999,
141,attr2_narrow,2,76768,576767,76768,576767,276768,376767,
142,balanced,0,222148,422147,222148,422147,222148,422147,
143,broad,0,92618,592617,92618,592617,92618,592617,
144,tiny_all,0,876846,881845,876846,881845,876846,881845,
145,small_all,0,254163,264162,254163,264162,254163,264162,
146,medium_all,0,213379,263378,213379,263378,213379,263378,
147,attr0_narrow,0,857073,957072,500000,999999,500000,999999,
148,attr1_narrow,1,293348,793347,493348,593347,293348,793347,
149,attr2_narrow,2,500000,999999,500000,999999,900000,999999,
150,balanced,0,496072,696071,496072,696071,496072,696071,
151,broad,0,0,499999,0,499999,0,499999,
152,tiny_all,0,950584,955583,950584,955583,950584,955583,
153,small_all,0,275288,285287,275288,285287,275288,285287,
154,medium_all,0,191640,241639,191640,241639,191640,241639,
155,attr0_narrow,0,900000,999999,500000,999999,500000,999999,
156,attr1_narrow,1,500000,999999,900000,999999,500000,999999,
157,attr2_narrow,2,344248,844247,344248,844247,544248,644247,
158,balanced,0,591493,791492,591493,791492,591493,791492,
159,broad,0,0,499999,0,499999,0,499999,
160,tiny_all,0,967902,972901,967902,972901,967902,972901,
161,small_all,0,4606,14605,4606,14605,4606,14605,
162,medium_all,0,894237,944236,894237,944236,894237,944236,
163,attr0_narrow,0,372652,472651,172652,672651,172652,672651,
164,attr1_narrow,1,0,499999,57634,157633,0,499999,
165,attr2_narrow,2,201398,701397,201398,701397,401398,501397,
166,balanced,0,800000,999999,800000,999999,800000,999999,
167,broad,0,0,499999,0,499999,0,499999,
168,tiny_all,0,933592,938591,933592,938591,933592,938591,
169,small_all,0,986537,996536,986537,996536,986537,996536,
170,medium_all,0,913242,963241,913242,963241,913242,963241,
171,attr0_narrow,0,112480,212479,0,499999,0,499999,
172,attr1_narrow,1,320055,820054,520055,620054,320055,820054,
173,attr2_narrow,2,377663,877662,377663,877662,577663,677662,
174,balanced,0,800000,999999,800000,999999,800000,999999,
175,broad,0,500000,999999,500000,999999,500000,999999,
176,tiny_all,0,526543,531542,526543,531542,526543,531542,
177,small_all,0,862789,872788,862789,872788,862789,872788,
178,medium_all,0,172818,222817,172818,222817,172818,222817,
179,attr0_narrow,0,199801,299800,0,499999,0,499999,
180,attr1_narrow,1,413140,913139,613140,713139,413140,913139,
