query_idx,profile,primary_attr,attr0_low,attr0_high,attr1_low,attr1_high,attr2_low,attr2_high,attr3_low,attr3_high,attr4_low,attr4_high,attr5_low,attr5_high,expected_top10
0,single_attr0,0,59169,159168,0,999999,0,999999,0,999999,0,999999,0,999999,
1,attr1_narrow,1,281083,781082,118891,218890,134130,634129,311060,811059,500000,999999,129207,629206,
2,attr2_narrow,2,500000,999999,0,499999,326642,426641,383987,883986,500000,999999,0,499999,
3,balanced,0,735626,935625,549014,749013,142038,342037,500000,999999,500000,999999,500000,999999,
4,attr0_narrow,0,48962,148961,44290,544289,0,499999,95501,595500,0,499999,84909,584908,
5,single_attr1,1,0,999999,253403,353402,0,999999,0,999999,0,999999,0,999999,
6,attr2_narrow,2,270807,770806,500000,999999,599127,699126,287747,787746,0,499999,500000,999999,
7,balanced,0,46023,246022,442291,642290,315701,515700,143835,643834,500000,999999,396161,896160,
8,attr0_narrow,0,674977,774976,0,499999,442511,942510,500000,999999,55328,555327,384162,884161,
9,attr1_narrow,1,70177,570176,28628,128627,109950,609949,351146,851145,500000,999999,27327,527326,
10,single_attr2,2,0,999999,0,999999,900000,999999,0,999999,0,999999,0,999999,
11,balanced,0,742144,942143,800000,999999,4938,204937,500000,999999,0,499999,33935,533934,
12,attr0_narrow,0,0,99999,500000,999999,436669,936668,500000,999999,500000,999999,500000,999999,
13,attr1_narrow,1,354693,854692,153879,253878,500000,999999,0,499999,0,499999,500000,999999,
14,attr2_narrow,2,0,499999,0,499999,544879,644878,216706,716705,500000,999999,8351,508350,
15,single_attr3,3,0,999999,0,999999,0,999999,60929,160928,0,999999,0,999999,
16,attr0_narrow,0,854868,954867,279202,779201,500000,999999,81634,581633,0,499999,457439,957438,
17,attr1_narrow,1,113453,613452,378627,478626,250117,750116,49354,549353,65978,565977,500000,999999,
18,attr2_narrow,2,66652,566651,0,499999,219187,319186,112060,612059,500000,999999,0,499999,
