query_idx,profile,primary_attr,attr0_low,attr0_high,attr1_low,attr1_high,attr2_low,attr2_high,expected_top10
0,attr0_narrow,0,78571,88570,50000,99999,0,49999,
1,attr1_narrow,0,50000,99999,65252,75251,25023,75022,
2,attr2_narrow,0,50000,99999,35731,85730,39336,49335,
3,attr0_narrow,0,17269,27268,17689,67688,479,50478,
4,attr1_narrow,0,40323,90322,6283,16282,50000,99999,
5,attr2_narrow,0,0,49999,0,49999,50097,60096,
6,attr0_narrow,0,0,9999,17130,67129,0,49999,
7,attr1_narrow,0,48682,98681,55967,65966,41603,91602,
8,attr2_narrow,0,50000,99999,12217,62216,64734,74733,
9,attr0_narrow,0,22006,32005,50000,99999,18525,68524,
10,attr1_narrow,0,18534,68533,13806,23805,0,49999,
11,attr2_narrow,0,48258,98257,46199,96198,32105,42104,
12,attr0_narrow,0,69557,79556,50000,99999,20896,70895,
13,attr1_narrow,0,15411,65410,52632,62631,50000,99999,
14,attr2_narrow,0,13448,63447,0,49999,62100,72099,
15,attr0_narrow,0,15368,25367,40785,90784,14964,64963,
16,attr1_narrow,0,20992,70991,18785,28784,15722,65721,
17,attr2_narrow,0,26497,76496,50000,99999,22455,32454,
18,attr0_narrow,0,81112,91111,36663,86662,50000,99999,
19,attr1_narrow,0,0,49999,64156,74155,43571,93570,
20,attr2_narrow,0,32919,82918,50000,99999,9164,19163,
21,attr0_narrow,0,89655,99654,36532,86531,50000,99999,
22,attr1_narrow,0,49302,99301,57727,67726,48046,98045,
23,attr2_narrow,0,50000,99999,50000,99999,37295,47294,
24,attr0_narrow,0,75962,85961,31898,81897,29724,79723,
25,attr1_narrow,0,46671,96670,10659,20658,0,49999,
26,attr2_narrow,0,48685,98684,50000,99999,74317,84316,
27,attr0_narrow,0,64469,74468,18241,68240,0,49999,
28,attr1_narrow,0,0,49999,77203,87202,50000,99999,
29,attr2_narrow,0,0,49999,37438,87437,6981,16980,
30,attr0_narrow,0,90000,99999,34988,84987,5300,55299,
31,attr1_narrow,0,50000,99999,90000,99999,13445,63444,
32,attr2_narrow,0,15646,65645,11396,61395,90000,99999,
33,attr0_narrow,0,40488,50487,0,49999,16297,66296,
34,attr1_narrow,0,0,49999,78014,88013,0,49999,
35,attr2_narrow,0,50000,99999,40090,90089,80185,90184,
36,attr0_narrow,0,25961,35960,50000,99999,5303,55302,
37,attr1_narrow,0,13353,63352,90000,99999,50000,99999,
38,attr2_narrow,0,0,49999,50000,99999,89463,99462,
39,attr0_narrow,0,1556,11555,50000,99999,0,49999,
40,attr1_narrow,0,42904,92903,21146,31145,50000,99999,
