query_idx,profile,primary_attr,attr0_low,attr0_high,attr1_low,attr1_high,attr2_low,attr2_high,expected_top10
0,attr0_narrow,0,19925,29924,4955,54954,1429,51428,
1,attr1_narrow,0,6934,56933,29249,39248,0,49999,
2,attr2_narrow,0,25575,75574,48207,98206,28290,38289,
3,attr0_narrow,0,19818,29817,9275,59274,27645,77644,
4,attr1_narrow,0,29324,79323,56543,66542,13473,63472,
5,attr2_narrow,0,50000,99999,50000,99999,43428,53427,
6,attr0_narrow,0,11803,21802,50000,99999,0,49999,
7,attr1_narrow,0,50000,99999,4864,14863,0,49999,
8,attr2_narrow,0,0,49999,50000,99999,90000,99999,
9,attr0_narrow,0,11509,21508,0,49999,50000,99999,
10,attr1_narrow,0,0,49999,23445,33444,23801,73800,
11,attr2_narrow,0,14321,64320,0,49999,13451,23450,
12,attr0_narrow,0,86036,96035,37595,87594,0,49999,
13,attr1_narrow,0,17123,67122,78600,88599,41254,91253,
14,attr2_narrow,0,0,49999,11555,61554,59579,69578,
15,attr0_narrow,0,62827,72826,50000,99999,50000,99999,
16,attr1_narrow,0,2182,52181,7941,17940,2587,52586,
17,attr2_narrow,0,44836,94835,40868,90867,13041,23040,
18,attr0_narrow,0,24079,34078,14468,64467,36014,86013,
19,attr1_narrow,0,0,49999,58096,68095,50000,99999,
20,attr2_narrow,0,0,49999,50000,99999,73163,83162,
21,attr0_narrow,0,47492,57491,11931,61930,0,49999,
22,attr1_narrow,0,20012,70011,3025,13024,0,49999,
23,attr2_narrow,0,4326,54325,31634,81633,64940,74939,
24,attr0_narrow,0,84265,94264,0,49999,50000,99999,
25,attr1_narrow,0,50000,99999,45878,55877,38557,88556,
26,attr2_narrow,0,50000,99999,2297,52296,57212,67211,
27,attr0_narrow,0,27046,37045,50000,99999,22622,72621,
28,attr1_narrow,0,35313,85312,62969,72968,22675,72674,
29,attr2_narrow,0,0,49999,12830,62829,28625,38624,
30,attr0_narrow,0,81361,91360,42520,92519,50000,99999,
31,attr1_narrow,0,0,49999,33127,43126,0,49999,
32,attr2_narrow,0,50000,99999,50000,99999,64447,74446,
33,attr0_narrow,0,23581,33580,0,49999,28868,78867,
34,attr1_narrow,0,15345,65344,61155,71154,36259,86258,
35,attr2_narrow,0,50000,99999,0,49999,90000,99999,
36,attr0_narrow,0,50941,60940,16919,66918,50000,99999,
37,attr1_narrow,0,35281,85280,54265,64264,18967,68966,
38,attr2_narrow,0,30752,80751,0,49999,38040,48039,
39,attr0_narrow,0,33673,43672,0,49999,34499,84498,
40,attr1_narrow,0,23706,73705,59378,69377,13077,63076,
41,attr2_narrow,0,23057,73056,50000,99999,62963,72962,
42,attr0_narrow,0,551,10550,0,49999,43376,93375,
43,attr1_narrow,0,41167,91166,90000,99999,37675,87674,
44,attr2_narrow,0,2514,52513,14129,64128,79658,89657,
45,attr0_narrow,0,78630,88629,35850,85849,0,49999,
46,attr1_narrow,0,40098,90097,45659,55658,4204,54203,
