query_idx,profile,primary_attr,attr0_low,attr0_high,attr1_low,attr1_high,attr2_low,attr2_high,expected_top10
0,narrow,0,9000,9999,4832,6331,8500,9999,9611 9550 9500 9816 9664 9713 9772 9971 9539 9515
1,medium,0,3585,6084,3007,5506,7188,9687,4835 5096 4545 4868 4680 4648 4894 5487 5320 5546
2,mixed,0,1805,5004,2771,4770,3761,8760,3405 3599 3609 2844 3203 3123 3371 3758 3765 3423
3,broad,0,0,9999,0,7999,1188,9187,7676 7191 7016 7289 7689 7756 7803 7750 7408 7574
4,narrow,0,3400,4399,1398,2897,4567,6066,3900 3438 4251 4039 4062 4117 4398 3779 4215 3614
5,medium,0,2668,5167,0,2499,6785,9284,3918 4656 3718 4786 4066 3792 3813 4457 3373 3189
6,mixed,0,1124,4323,0,1999,5000,9999,2724 2239 3139 2989 3208 2967 2165 2520 2837 2886
7,broad,0,0,9999,2000,9999,0,7999,5154 4932 4702 5097 4832 5240 5424 4981 4723 4607
8,narrow,0,5439,6438,5344,6843,1202,2701,5939 5439 6386 5984 6128 6354 5611 5668 5464 6020
9,medium,0,7016,9515,7381,9880,742,3241,8266 7490 8316 8196 8385 8798 8464 8758 8568 8669
10,mixed,0,1370,4569,5468,7467,3327,8326,2970 2360 2751 3504 2969 2623 3128 3237 3306 2998
11,broad,0,0,9999,0,7999,839,8838,5230 5224 5296 5275 4877 4941 5302 5716 5408 4396
12,narrow,0,7758,8757,2423,3922,5623,7122,8258 8634 7967 8342 8033 8083 8338 8288 8057 8103
13,medium,0,2546,5045,4605,7104,4655,7154,3796 3505 3662 3621 3823 3458 3863 3856 4071 3545
14,mixed,0,6800,9999,2078,4077,1611,6610,9585 9303 9247 9716 9829 9283 9789 9584 8923 9655
15,broad,0,0,9999,2000,9999,0,7999,4497 4594 4721 4337 5271 4421 4949 3944 4763 5143
16,narrow,0,3567,4566,1059,2558,8500,9999,4067 4410 4174 4176 3949 4050 4198 4336 4088 4384
17,medium,0,7500,9999,959,3458,6364,8863,9849 9461 9538 9667 9707 9947 9928 9782 9635 9300
18,mixed,0,6800,9999,6033,8032,4574,9573,8895 8147 9765 8920 9927 8830 8596 8770 8575 8929
19,broad,0,0,9999,2000,9999,2000,9999,390 424 679 435 119 243 470 420 503 533
20,narrow,0,3381,4380,431,1930,5801,7300,3881 4172 3520 3544 3848 3781 4065 3906 3530 3837
21,medium,0,6815,9314,7140,9639,3159,5658,8065 7580 7930 7975 8136 8277 7890 7992 7916 7651
22,mixed,0,0,3199,6958,8957,5000,9999,652 226 773 224 379 586 421 806 929 438
23,broad,0,0,9999,2000,9999,0,7999,1579 2064 1740 1487 2055 1777 1254 1752 1529 1593
24,narrow,0,7664,8663,533,2032,5105,6604,8164 8260 8321 8404 8174 8452 8004 8310 7956 7870
25,medium,0,878,3377,7500,9999,6506,9005,2128 2036 2814 1837 2716 2474 2081 2264 2596 2251
26,mixed,0,2443,5642,5962,7961,2908,7907,4043 3306 3776 3782 3723 3927 3988 3962 3905 3685
27,broad,0,0,9999,373,8372,0,7999,1647 2070 1829 2394 1820 1834 2105 1464 1800 2167
28,narrow,0,2492,3491,8258,9757,1970,3469,2992 3048 2948 2917 2678 2809 2532 2544 2642 2987
29,medium,0,5922,8421,1438,3937,5441,7940,7172 7566 7657 7118 8342 7774 6979 7473 7248 6882
30,mixed,0,5608,8807,5631,7630,2380,7379,7208 7123 7201 7572 7383 6627 7350 7093 6948 7562
31,broad,0,0,9999,0,7999,0,7999,9985 9751 9494 9701 9723 9907 9470 9862 9620 9677
32,narrow,0,5531,6530,6138,7637,2934,4433,6031 6129 5955 5857 6404 5977 5836 5567 5991 6332
