query_idx,profile,primary_attr,attr0_low,attr0_high,attr1_low,attr1_high,attr2_low,attr2_high,attr3_low,attr3_high,expected_top10
0,attr0_nav_sel0.1,0,0,562340,390363,952703,394650,956990,242547,804887,
1,attr1_nav_sel0.1,1,293594,855934,0,562340,130460,692800,437659,999999,
2,attr2_nav_sel0.1,2,431677,994017,437659,999999,0,562340,317338,879678,
3,attr3_nav_sel0.1,3,0,562340,17930,580270,437659,999999,1107,563447,
4,balanced_sel0.1,0,334224,896564,437659,999999,321496,883836,0,562340,
5,attr0_nav_sel0.1,0,437659,999999,167475,729815,111821,674161,437659,999999,
6,attr1_nav_sel0.1,1,341950,904290,0,562340,0,562340,0,562340,
7,attr2_nav_sel0.1,2,437659,999999,144508,706848,61481,623821,437659,999999,
8,attr3_nav_sel0.1,3,437659,999999,295786,858126,0,562340,0,562340,
9,balanced_sel0.1,0,437659,999999,437659,999999,375795,938135,127268,689608,
10,attr0_nav_sel0.1,0,0,562340,437659,999999,348362,910702,437659,999999,
11,attr1_nav_sel0.1,1,7651,569991,144985,707325,183330,745670,0,562340,
12,attr2_nav_sel0.1,2,0,562340,288995,851335,437659,999999,190314,752654,
13,attr3_nav_sel0.1,3,437659,999999,220906,783246,0,562340,0,562340,
14,balanced_sel0.1,0,0,562340,437659,999999,134535,696875,260994,823334,
15,attr0_nav_sel0.1,0,0,562340,122209,684549,437659,999999,0,562340,
16,attr1_nav_sel0.1,1,437659,999999,83632,645972,0,562340,182737,745077,
17,attr2_nav_sel0.1,2,175778,738118,244532,806872,0,562340,162308,724648,
18,attr3_nav_sel0.1,3,437659,999999,214249,776589,40557,602897,361265,923605,
19,balanced_sel0.1,0,437659,999999,298503,860843,369218,931558,0,562340,
20,attr0_nav_sel0.1,0,362771,925111,383772,946112,297116,859456,437659,999999,
21,attr1_nav_sel0.1,1,244890,807230,150005,712345,54882,617222,223586,785926,
22,attr2_nav_sel0.1,2,437659,999999,437659,999999,437659,999999,247565,809905,
23,attr3_nav_sel0.1,3,437659,999999,0,562340,437659,999999,165064,727404,
24,balanced_sel0.1,0,0,562340,342096,904436,0,562340,158955,721295,
25,attr0_nav_sel0.1,0,0,562340,0,562340,437659,999999,219509,781849,
26,attr1_nav_sel0.1,1,0,562340,437659,999999,437659,999999,47727,610067,
27,attr2_nav_sel0.1,2,437659,999999,437659,999999,437659,999999,8967,571307,
28,attr3_nav_sel0.1,3,277366,839706,425806,988146,437659,999999,199593,761933,
29,balanced_sel0.1,0,0,562340,33596,595936,0,562340,437659,999999,
30,attr0_nav_sel0.1,0,24780,587120,437659,999999,0,562340,0,562340,
