query_idx,profile,primary_attr,attr0_low,attr0_high,attr1_low,attr1_high,attr2_low,attr2_high,attr3_low,attr3_high,expected_top10
0,attr0_nav_sel0.01,0,0,31622,49265,80887,20227,51849,68377,99999,
1,attr1_nav_sel0.01,1,33430,65052,0,31622,43161,74783,0,31622,
2,attr2_nav_sel0.01,2,33393,65015,33998,65620,8236,39858,5985,37607,
3,attr3_nav_sel0.01,3,30920,62542,44550,76172,45359,76981,57814,89436,
4,balanced_sel0.01,0,53742,85364,10343,41965,13675,45297,47286,78908,
5,attr0_nav_sel0.01,0,68377,99999,68377,99999,39363,70985,46248,77870,
6,attr1_nav_sel0.01,1,0,31622,49616,81238,54218,85840,50726,82348,
7,attr2_nav_sel0.01,2,0,31622,45520,77142,53414,85036,46566,78188,
8,attr3_nav_sel0.01,3,61704,93326,0,31622,0,31622,31121,62743,
9,balanced_sel0.01,0,0,31622,68377,99999,62555,94177,40099,71721,
10,attr0_nav_sel0.01,0,26298,57920,26902,58524,49823,81445,29359,60981,
11,attr1_nav_sel0.01,1,68377,99999,34914,66536,68377,99999,0,31622,
12,attr2_nav_sel0.01,2,31525,63147,19893,51515,525,32147,333,31955,
13,attr3_nav_sel0.01,3,53754,85376,68377,99999,68377,99999,0,31622,
14,balanced_sel0.01,0,31734,63356,68377,99999,0,31622,28959,60581,
15,attr0_nav_sel0.01,0,0,31622,11869,43491,59552,91174,28364,59986,
16,attr1_nav_sel0.01,1,47725,79347,57034,88656,63964,95586,0,31622,
17,attr2_nav_sel0.01,2,68377,99999,0,31622,35483,67105,2050,33672,
18,attr3_nav_sel0.01,3,1155,32777,60700,92322,4068,35690,65330,96952,
19,balanced_sel0.01,0,67787,99409,0,31622,46693,78315,0,31622,
20,attr0_nav_sel0.01,0,61753,93375,0,31622,16908,48530,11275,42897,
21,attr1_nav_sel0.01,1,63253,94875,0,31622,65938,97560,31021,62643,
22,attr2_nav_sel0.01,2,0,31622,68377,99999,17672,49294,0,31622,
23,attr3_nav_sel0.01,3,1474,33096,68377,99999,0,31622,0,31622,
24,balanced_sel0.01,0,33898,65520,68377,99999,11111,42733,68377,99999,
25,attr0_nav_sel0.01,0,10234,41856,0,31622,68377,99999,1591,33213,
